cid,text,time,author,channel,votes,photo,heart,video_id
UgiBG8owCBF5cXgCoAEC,"Czytalam kiedys ksiazke,wspaniala.Ciesze sie ze znalazlam ten film.",قبل 7 سنوات,Nessa Yola,UCIGoLID77TTlhsQTRwBlJZg,11,,False,pn0aK59xhl0
Ugwr2HtFrZYNZeyKell4AaABAg,"""Now we are free"" from the Gladiator Soundtrack ;)",قبل 14 سنة,TehCheese,UC4PwZvOzDFUG-i848MVbqYw,0,,False,EFkt2a9ufuE
UgiJ6o-fWxjhVngCoAEC,세계 어딘가에선 지금도 석양이 지고 있지..,قبل 5 سنوات,foxy MOTO,UCyW0qCb0Q-CbEOVNQqCC0sw,0,,False,YN7EmvQIDrc
UgxKtC7rzoNlptVJFXV4AaABAg,Love to you Akaycentric from Wisconsin USA!,قبل 3 سنوات,Emilia Cofer,UClqzkD9NL0mpuyc0JhsW9Ig,3,,False,_lZlPgeTDMw
UgjHA0K6tzMBY3gCoAEC,"This is a great resource. One heads-up: I believe there's a mistake in bar 137 of ""And the Glory of the Lord"" (around 9:26). On the syllable ""ris"" of ""risen"", the singer sings a B, but as written it should be a D.",قبل 6 سنوات,Michael Hartl,UC6uUJp9Ig68SnXTYsFkfxMg,1,,False,XhQob1hE2zA
UgzMVkx5rnnYua9DUVh4AaABAg,"Проблевался, но поставил лайк! Так Победим! ",قبل 9 سنوات,Ivan Khl,UCrGegEOKJLjqPflNPUGgI0w,2,,False,T6JWCSVA-mE
UgwFOpdl6AhYMzEu-7N4AaABAg,Foarte frumosa melodie multumesc,قبل سنتين,nicolita profir,UCXqxDsq6D6z4S8xrNvIU_Wg,0,,False,F9kWprIXbm0
Ugy2nouFJc4RrPXdkHt4AaABAg,4:54 and replays.  How Halak saves Corvo's shot that's actually beaten him from the slot is a legendary moment in a legendary performance.,قبل سنة واحدة,Zog26,UCsF56wL-H5d6rk6VjCDqVmw,14,,False,TtOZvZTgjf4
UgyCmxB_1nEU0WqvsPh4AaABAg,Just as I figured Topps is garbage year after year.,قبل 8 سنوات,Rob Rays76,UCqYOSbrPxOnzeJxSx0S-QvA,0,,False,zTbIFYLa42M
UgyCQJtHX9elYqF8fZx4AaABAg,نفسي أكون مكان المنظمين الحفل  أن شآء آلله يكتب لنا هذه وظيفة وناسه,قبل 4 سنوات,lee Ella 🎶,UC8i0t_FiDffzQY7xeFJt4zw,26,,True,lQdkeu6d5eQ
Ugw5EYS1tlVxDiZYzL14AaABAg,Can’t wait till next album! Barton’s Odyssey was amazing.,قبل 3 سنوات,J Baran,UCadU9KylqUu5-s1FxuEPVOg,3,,False,7t7ogblAu-w
Ugis3gO7ofeK-XgCoAEC,Что с голосом? Он изменился,قبل 5 سنوات,Scrinshoter Clerk,UC0WvZJ0pHJuzE_BDrAuQ1RQ,0,,False,Rf8gyCOSHXk
UgyjyVUGoLWca7Cl25t4AaABAg,ハルちゃん今年もお疲れ様でした。まん丸な飴玉のような瞳に吸い込まれそうな程、(*≧з≦)💕可愛い。癒しをもらえたので感謝しています。これからも楽しみにしてます。,قبل 3 سنوات,アイウエオサラマンダー,UCAhFVFgVYXBTQLRswBNXCiQ,0,,True,nV2UcVgJGxY
UgjWOBlx8aiaVngCoAEC,America made some brilliant cars back then..what happened.,قبل 4 سنوات,fill face,UCDVSb0N0_peVT5lPv8g-7JA,1,,True,jqLJzk7D-XE
Ugx9gcTeB4-RJhV1FTl4AaABAg,Ricoooooooo me gusta...,قبل 4 سنوات,Isabel Dugarte,UC8Mm0xmmfPFMslgAFJfSvuw,1,,False,oXVjH4iQ1e0
UgxBB2nslJTKGL-WHvh4AaABAg,Padrísimo!!!! Esos cuernos están increíbles!!!! Muchísima suerte!!!,قبل 3 سنوات,Manuel Corta,UCaXfZp_Yx75IT5cus5Rj2vA,0,,True,8lXfo8j8zvw
UgwJnH4Si4s6GXJA3q54AaABAg,Respect from Turkey.Amazing song.,قبل سنتين,Kubilay Yılmaz,UCEzpFyWL7Fmib5-qdflGwAQ,2,,False,TsrQt4Mkuwo
UggKh4Gk_DP0mHgCoAEC,Excellent reading. ~Love + Light,قبل 5 سنوات,The Good The Bad & The Tarot,UCUAk_8leEo3LVxeVLX-oDFA,0,,False,C9E769CD38k
UgxhMthO3lF04BFnMLl4AaABAg,She has Such Glee at the thought she ruined it all.      Kennedy is the most grotesque creature in the Star Wars universe.   #FireKathleenKennedy   #CancelDisneyPlus,قبل سنة واحدة,Loo Biggerthanyoo,UCh1myp97O1hGHkVNcYN6SIQ,0,,False,W0-78CoxLHU
UgjbhW3d8P3V2HgCoAEC,"طبعا الاخوان حيقولك متلفقة !!

بس مش مشكلة من إمتة صدقوا !!!",قبل 8 سنوات,Hazem Abdalla,UC9GZRnd8YvWE0W3MtLdiR-A,0,,False,Ldz0g7Ry-zk
UgxFN3ak9FLM1rLx3Ot4AaABAg,"i know, it just wasn't going to happen! I think there's something about that arena, both times i've jumped him there i've come off :L they're silly falls too, something I'd easily usually sit at home but oh well! it makes for good laughs!
thank you very much! :) ",قبل 8 سنوات,horsey2807,UCXAtpYWBYzziU5LCWHZe5kw,0,,False,HGMNZK6whvw
UgyADLwMC8S6B4Xrx8d4AaABAg,Termine De Ver Esta Serie Estuvo Muy Buena 4 Años Tarde Me Lo Recomendo Youtube Mejor Tarde Que Nunca 👍,قبل سنة واحدة,Brian Ayala,UCrPAidMt5fo3nbqjOaACpPA,1,,False,cjzvzqZN3vc
UgiCDvFcfcPvYHgCoAEC,Disney has very good lawyers.  Good luck with that one.,قبل 5 سنوات,Mixed reviews,UC37nrYyzPjVZu-hEpOcCNCQ,0,,False,ZH4JzyHa7eU
UgzjRGXtPYRgcz_w0RV4AaABAg,Btw nice montage. Gonna add more 100 hours on her.,قبل 4 سنوات,5% and 1!,UCdXP40CMfE-moHq7pdBOP0w,0,,False,FaCxjy4Ky_k
UgwwRw2oyeRAkJuhNep4AaABAg,"Well done sir, keep it up.",قبل 4 سنوات,Bhavya Cultural Society,UC7hNwQwws_tdzkCSKU-AISA,2,,False,WdhQX3hIDOw
UgyaVLUbsCQEc89ZtHN4AaABAg,Just pre order my at GS Looks Awesome i hope we get JP Audio & Dlc ^^,قبل 8 سنوات,Shiro Kishi,UCD4vZezg9apF_iKcU3Xbh0Q,0,,False,w6nM6OZZP3s
Ugze1YWzpwD-FKR9IVd4AaABAg,กีต้าร์ ที่สำเนียงเอกลักษณ์ เบส แน่นกระหึ่ม กลองที่จังหวะเปะแม่นมากไม่รก วงนี้ไม่ให้คุณภาพได้ไง,قبل 4 سنوات,Full Human,UCXbJjhA-zEwJHd4yoouWYhw,10,,False,rnsC8yZNt-I
UgxrAu5yZcwoKWiCbuV4AaABAg,El monseñor Jorge Humberto Acevedo es un crack! He visto como su liderazgo a ayudado y creado desde cero en la construcción de más de 5 Parroquias. Admirable!,قبل 3 أشهر,Alba Mutis,UCz8G_DorPlIs6nDHctQPYKA,1,,False,gDwbvpFn2Q4
Ughfo6FBXW63A3gCoAEC,A great market I could really see pure gear doing well with this line I'm definitely getting this case good video David ,قبل 7 سنوات,James,UCZazdPX-Yq6KycXlW14L-vg,0,,False,kdhhhiTDOMs
Ugz1WOCaNu3oQcYTkAp4AaABAg,Люблю смотреть ваши видео с такими реальными примерами,قبل 4 سنوات,yaruu tungalag,UCT5s9Ti6VnS8duJopsGEGbg,30,,False,fivJurrVL4M
UgzI8XaC7QHsuo5Ao5l4AaABAg,شنو اسمه بالعراقي,قبل سنة واحدة,ابو درع العراقي,UCWPiCK3JxLEVLmvvr4hPeQw,0,,False,KjjvhynfXbs
UgxParqk2PaXfQ4XUFN4AaABAg,Devo ancora capire se mi piacciono o no,قبل 3 سنوات,Martina Terradura,UCxYEl-LM8mmr1Xfd0JcnMcA,22,,False,gVcAvDbYpnQ
Ugwux_10tpnWZq4jmIp4AaABAg,"A i kiedy skończy się drewno po naszej stronie to warto ustawić ze 3 tartaki tuż przy moście(po naszej stronie), wtedy drwale będą wycina drzewa u ""sojusznika"".",قبل 9 سنوات,Michał,UCyt0nVw8Io31NFzoBVq52xA,1,,False,fCbp0imfQvI
Ugya5v1TWzLaY-Bq8Ct4AaABAg,your vlogs are always such flames mark !!,قبل 4 سنوات,Rachel San Miguel,UCfWKnstRScNMwixso_42WWQ,0,,False,qapNxg0A7Hw
