cid,text,time,author,channel,votes,photo,heart,video_id
UgjS3JFda9BHhngCoAEC,"Я верю, Беркут спасет Украину!!!",قبل 8 سنوات,Pol Hant,UC3qoG-iVFEItoqNuBqOJ8oQ,17,,False,47zLQOph4vQ
UgwNWWPd4kBKOsbDQJx4AaABAg,amo-te muito é lindo demais o teu trabalho que Deus esteja sempre contigo.,قبل سنة واحدة,Zurema Chandicua,UCaWWuDU02cN9dXuY4NwQOpw,0,,False,OYyS0-JRd80
Ugjs3EyHxXfMrHgCoAEC,love scoota,قبل 4 سنوات,Kesha Backus,UCIU5bTvGnZauHGwNdU4k_qA,15,,True,Bk8B5EQUhb4
Ugxrk5hPLNmtDYIIUJF4AaABAg,"it is not so much Bran who was thought of as old horny, but Arawn Pen Annwn and after him, Pwyll. Arawn is thought to be from the sound stags make, according to my correspondence with stewart farrar... my original idea though was that 'y rhawn' meant the hairy or pelted one in welsh. 
coraclewoman",قبل 9 سنوات,coracleman,UC4o52Nvj6wf5B_Cww915wjg,0,,False,pBBN7UApx_Y
UgzoH3lnX9Vn3anSD0d4AaABAg,Excellent.,قبل سنتين,H,UCT4JxxGvL6Fsa1R13fJFUbg,0,,False,Z9BVhTRNKjI
UgwFSx2abTT0u6INn4R4AaABAg,"kattelin just nii 119e toi luuri uutena, vois olla ihan hyvinkin tuleva puhelin :)",قبل 9 سنوات,KSO Trio,UC1aPBvSnZEXxHQEB4CUq1hA,0,,False,EkuIlCCnQZE
Ugg07hOCj5hvHXgCoAEC,"PSN: HDrautBaseball 
Interested in joining your clan!",قبل 6 سنوات,Hunter Draut,UCVFURPcPeTeZE9qGe272N6w,0,,False,AAu0xky_Nj0
UgwmS9xkWHvTrN350394AaABAg,Nada uma escavadeira,قبل 4 أشهر,Ribamar Frasao,UCw9JFPTL8Jl_gf1lnlbQT5A,2,,False,JhiBROidJKs
UgwiNGQZr-MdTK4xf114AaABAg,I can feel the love radiating from both of those players.,قبل 10 سنوات,Beau Woodcock,UC3xXuXmoBIdIjJ4QpwkPkgQ,1,,False,ObSPEAsRScU
Ugz96vBy-i-0l9Ox4514AaABAg,e belissima,قبل 3 سنوات,Melissa gallicchio,UCn0BcVl96XOL9pk7xWKnicQ,4,,False,M2j-oEeDgvo
UgzfZgZJ62GtP0F72Fp4AaABAg,👍,قبل سنتين,Артур,UCc-TAwZBDH3N9Zgc82OxOYg,0,,False,AM3iomurbLc
UgzktJ93LMCiIBK0ed14AaABAg,Forza SPAL,قبل 4 سنوات,oɹɹɐzıqɹoɯɐǝpolnƃuɐıɹʇ,UCb7f9gBpDqHpvtCgUYPMiHA,6,,False,AXh9ssNKaKg
Ugw-msHTp_mDbinuG154AaABAg,呢兩条友正扑街……！！,قبل 4 سنوات,Lai Loi,UCIzXpg-17yL1kEM6KRGg3Xg,0,,False,UJg9TW7WcRs
Ugxole5jCxlgW4DTCBd4AaABAg,Viu mas está primeira rua ali que vc entrou não é a 57? A casa do rapaz que a capsula ficou ? Se disse que era a clinica? Mas blz bom video amigo,قبل سنتين,josue carneiro de lara,UCtGCiXi3MbTXk_yEiWqGL2A,0,,False,IUeiaq4wTqU
Ugxho9iEOWqZZYqUQ6t4AaABAg,that guy is great at singing,قبل سنة واحدة (تم تعديله),Bongani Ngobese,UChMAwtFFOnvh5e6_WyB7swQ,1,,False,nYMydXnuXo4
Ugy1mFnR32C5eqC-U8h4AaABAg,"Nice review but i have a question since i'm new to basketball shoes, are these durable for outdoors?",قبل 9 سنوات,Prepare Thy Anus,UCQV8hKItJYkyQPGPU62fkmw,0,,False,w0KZNTwayyQ
Ugwz2hz9pXQl_sMXCrR4AaABAg,"Hoy agosto del 2019 me acabo de enterar que el Banco Central del Ecuador dejará de publicar por 3 años el resultado anual del PIB, debido a un PROCESO DE CAMBIO DE AÑO BASE. 

Y que esto empezó a fines de 2017.
 Es esto procedente, esto es político y no técnico, es demasiado tiempo, porque lo hacen,????????????????",قبل سنتين,Fabian Cordero,UC-PAK9W3vWMjSr6rIcxyM2Q,0,,False,jNyBAgKXM1k
Ugggz-crx4IWongCoAEC,"coño jony cuánto tiempo! :O ¿soy yo o andabas perdido? Voy a mirar a ver qué me perdí que hacía un montón que no os veía. Muy guay esa despedida, ¡qué rabia lo de la cámara! ¿solucionado ya? Espero... A ver si a youtube se le ocurre ya poner mensajes de voz aparte de estos como los del whatsapp porque me quedé con las ganas de que me escucharas decirte con mi acento andalú y exagerado algo acerca del winston chachi :P jajajajaja",قبل 6 سنوات,La Cápsula Viajera,UCWdwhowuBuKrQtUxvDG8NJw,1,,False,zeZeuIThd20
Ugwsa80N7XpuSwVgYAl4AaABAg,i suffer from migraines due to estrogen fluctuations and have to avoid all soy products (especially soy milk) as it can trigger a pretty hefty migraine. ,قبل 9 سنوات,mzkeenah,UCPYyEBPqxwHejF9W2GwlKUw,0,,False,sb-QKcHLE2Y
UgyyvNwEnZyWE5kWlBt4AaABAg,"Hier können Sie all unsere Produkte für die F750GS und F850GS finden: https://www.motorradzubehoer-hornig.de/BMW-F-750-GS-F-850-GS/

Here you can find all our products for the F750GS and F850GS: https://www.motorcycleparts-hornig.com/BMW-F-750-GS-F-850-GS/",قبل 3 سنوات,Motorradzubehör Hornig GmbH,UCo61MTIXbBPpEf-Z4UGgTeg,0,,False,fmzR0x3QbEM
UghZwLxA6KaUdXgCoAEC,"Thanks, +ChemistNate! This made much more sense than the LiveScribe I was given by my instructor. I couldn't figure out how to address the ln portion to make it go away. And the T2-T1 parts on my calculator didn't work until I saw how you did it. 

Thanks for the helpful videos!",قبل 6 سنوات,Nate Stewart,UCxQofsd3jLluAu-m9tj85wg,0,,False,K88rQ_Q1oI4
Ugw_e3kFkKSE8CxQj-B4AaABAg,Caly dzien w 4 ? :D jaka masakraa,قبل سنتين,Rafal Ipon,UCnSFmUAarz7eweB8cCGb8vA,3,,False,c1k6_udMXdk
UgxoonD8EjjSmUQ5XNl4AaABAg,Sup Vic. Been watching ur reviews just never subscribed. But I Will always love ur knowledge and reviews! And u can trust  me to always smash dat like button from now on! Keep up the gd work. Loved ur review on the dreamer! I love that mod.,قبل 3 سنوات,Betty Hoilman,UCTT6NQAaMvscJqYxtIRfPqQ,0,,False,5yOhPNy4UYE
UgyrOc75M4Ywi9zb8Cd4AaABAg,ท่านอาจารย์สอน เน้น เป็นแนวทาง. ถึงจุดนึงก็เป็นแนวเฉพราะตัวเราครับพี่ (ตัดเสร็จถูกใจลูกค้า ดีสุด)ดูพี่บ่อยครับ ผมอยากตัดได้ทุกทรงนะ (ตัดเป็นคงอีกนาน) ขอบคุณพี่ครับ ดูแล้วช่วยเพิ่มเทคนิคให้ตัวผมเยอะมากครับ ขอเป็นกำลังใจให้พี่ทำคลิบดีๆออกมา ช่างใหม่อย่างผมจะได้ดูเป็นแนวทางเลือกครับ😁,قبل 3 سنوات,ภานุวัตน์ บัวพรม,UCZk2m3uYei8GFe3f0M9sPJw,3,,False,CPAwhcagM6o
Ugw1UAf21qSBfbaCwKB4AaABAg,Why do u have so dark man?,قبل 10 سنوات,Josef Lundgren,UCrEr7V10QufY3QPTMaoaPTA,0,,False,lThVccNvyUo
UginTUgo2waqhHgCoAEC,Wh !!!!,قبل 7 سنوات,S.G.T.,UCcYOtGQjt4nqh2eU93zZiEQ,0,,False,gK05iI10gOo
UgzhVfuNnrGUm5g5IEx4AaABAg,Banyak bahan yg terbuang,قبل سنة واحدة,86Chanel,UCSrYxBc__A5uFsm6lhBCqnw,0,,False,DKHiLbttHxo
Ugii_2w5nVYw3HgCoAEC,Está muy bien te felicito esta perfecta te felicito ATT:thania Judith,قبل 6 سنوات,maseton128 Mendez,UCyHQ3LCvvO_FpafvzWXXVlA,0,,False,8xn6DfJXcC8
UgzusUIUAGKN9BTY5tF4AaABAg,the gold players all look like motm,قبل 9 سنوات,fabinho ahmad,UC8oIJU2qUi-5e3x02HGPthw,0,,False,tcu2_fKvsfc
UghQbmgHgcJ1WngCoAEC,"This is chilled, epic, powerful rock at its absolute best. Blows my mind. The rest of the album is also pretty good.",قبل 5 سنوات,Steve Clough,UClx1GYZvFd8NrOOMm0JnUKg,14,,False,zbSazRxrflw
UgyTsxzwVRuyT0fH6Lx4AaABAg,"''Dzwoń na policje i mów, że trzepnął nas w dupe'' xDDDDDDDDDDDDD",قبل 4 سنوات,Zohan,UCMVyrvjJuqMXKb4fzVnLk7A,11,,False,Yu6WNvEbEL0
Ugxld9QfgjJoAFqVaxJ4AaABAg,Family! we understand To OverStand. how you feel. Great Video.  FlintStone In Vine City Atlanta,قبل سنتين (تم تعديله),miracleteebabe',UCdE1VmUs-snQB9XIQeBw3Qg,0,,False,E849V78hbBQ
UgyAStQ65GUYOjSnOJh4AaABAg,jai modi ji,قبل 3 سنوات,Majesh T.t,UC4iSypWzoqFHo41ROmPhqUw,1,,False,6d2dt08Si9A
UggSMTStXJ-ZBHgCoAEC,Oh nice Vibin' i follow you on Youtube and Soundcloud :d,قبل 4 سنوات,nèv1,UCEq8rCP3TIOpzlQLH1htv0Q,2,,False,6Psos8NDKl8
UgyU6qqifiup4sRVMh94AaABAg,First like and comment,قبل 9 سنوات,Noah DiMattina,UCM7_QL0ll6nk7hnfdAsDPzQ,0,,False,mzh-03vdRnM
UgwSEstq49Swn40CSDh4AaABAg,"Если я выиграю, то тот кто поставит лайк апнет звание :3",قبل 3 سنوات,XxxxdxxxX Vd,UCo-64bl775im8xWRgFPW2sg,2,,True,sWmQmLBcbuo
Ugz0gncUo6arUgxfg8d4AaABAg.9SPcAQFdDlf9SRGqYBewQD,ขอบคุณครับสำหรับการติดตามรับชมและเป็นกำลังใจให้เกษตรกรชาวบ้านครับ❤️,قبل 6 أشهر,เกษตรกร ชาวบ้าน,UCVgaTjEzgS2ldC7U6ZNisPw,1,,True,EH-MUMBAn6c
Ugz_oQ3M3UHb9o2lVWJ4AaABAg,Juega zombie rush eres la mejor 😉❤😜,قبل 4 سنوات,Shirley Rocio Lopez Orozco,UCwU1ZQW2AB6RrOsk8lNZxsw,0,,True,Vq3mDz2yDi4
UgyHjK8qxT6p5dMXU4d4AaABAg,"Lo que me imaginé:
""Driak hace tiempo que no mojas, me cago en tu... era una broma"" para mi eso hubiese sido muy grande, se me pasó por la cabeza cuando iba empezar Botta... Se ve que ya no es el mal rollo que tenían antes pero ya lo digo en la propia rima, un recuerdo en plan broma de cuando había empezado así en una batalla entre los dos xD",قبل 4 سنوات,Fenyx,UCokLfJoP2d0V-2Usv-22FVg,8,,False,3jKlAvu1OVA
Ugyn1sLwFRHodhUX1mV4AaABAg,Wow super,قبل 4 سنوات,khadga waiba - topic,UCrLchPcvEfonXMNzbKOptLA,0,,False,aiZJdPVmCQY
UgxnyhAVtlybi9ptwi94AaABAg,"Hallo Freunde!
Willkommen zurück in New Eden. Ich muss sagen, dass mich selten die erste Stunde eines Spiels so gepackt hat wie bei diesem hier.
Falls ihr mich unterstützen wollt, würde ich mich über jeden Daumen nach oben freuen! Auch Kommentare sind gern gesehen. Ich wünsche euch viel Spaß beim schauen! :)
euer Rio~",قبل 9 سنوات,Riokat,UCjhvcYrlQjjs_RoWQUNdOxA,0,,False,2Qx3OPO4edw
UgxBxOQBBeC76LjCJmB4AaABAg,Wait. How do you convert to table?!,قبل 7 أشهر,Noah’s World,UCnZJecnncV5SvgriczUW52w,1,,False,K2mSm9r_T-k
UgwjCIXnB_cTaZazpgZ4AaABAg,Bonne vidéo et laisse gohan tranquille ^^ ,قبل 8 سنوات,GOHAN FORLIFE,UCgDIf8k2HOrZS7mtCns4ndw,0,,False,G6dKGE8zLYc
UgyoGIEswzmcsO4thgN4AaABAg,"Most néztem meg a filmet, és rögtön utána a videódat. És tényleg nincs történet,de ezt észre sem vettem annyira nem számít 😊  az első szerelemről szól és fantasztikus film.",قبل 3 سنوات,melinda hullo,UCb85kWJV9x1Yz8suZa4eJOQ,2,,False,rC7U1PTeX78
UgiIMwM2jGzMIXgCoAEC,Benle facebook ile iletisime gecermisin sana biraz tavsiye veririm kardesim,قبل 8 سنوات,Son Player,UCvjfGC0IWVKuln6PP0L10VQ,0,,False,lsqKwtW0kpU
UghvSFtxT0uC6ngCoAEC,Favorite part of the Vlog was look at the CLAW!!! Thanks for the entertaining Haul video.,قبل 5 سنوات,troyperez76,UC9vty7qvQ5he1KoGbuX2Luw,10,,False,q-ceWxfgP9s
Ugipjf8q0w3HiHgCoAEC,"Küçük bir YouTuber olarak şunu dile getirmek istiyorum Polina, hepimiz, her insan, derinlerde bir yerde, başkaları tarafından sevilmeyi ve taktir almayı diler, ister. Bu bir gerçek, her ne kadar kimimiz bunu inkar etse de öyle. Ben kısa filmler yaparak başladım bu işe, ve öyle devam etmek istedim. Sinematografik yönlerimi, yeteneklerimi geliştirmek, anlatmak istediğimi farklı yollardan anlatmak istedim. Saatlerce belki günlerce çektiğim videolar, saatlerce uğraştığım editler ardına paylaştığım videoların doğal olarak insanlara ulaşmasını diledim. Belki bir şeyler katar, belki şu dünyayı iyi yönde değiştiririm diye düşündüm. Sonra baktım insanlar bunları görmek istemiyor, aslında gördüğünde çok seviyor ama onları aramıyor, bakmıyor. İnsanlar ""Youtube'u Bırakıyor Muyum"" başlıklı videolara tıklıyor, asla bir şey söyleyemem onlara, insanlar ne yapmak isterse onda özgür. İster saatlerce slime videosu izler, ister başka bir şey. Sonra oturdum ve sanırım önce bir topluluk oluşturmam lazım dedim. Youtube ailenden birisi olacaksam onlar gibi yapmam lazım dedim. Kendimi kötü hissettim, çünkü asıl isteğim bu değildi ama diğer işlerimin görünmesi için buna ihtiyacım vardı. Ama abone sayısı arttıkça, sadece sayı ile değil, ekranın diğer tarafındaki GERÇEK İNSANLAR ile iletişimde olduğumu gördüm. Bu ister istemez bir sorumluluk katar bana, sana, ona... Elbette sınırları çizmek lazım ama sadece iyi günde burada olacaksan bu fazla bencillik gibi geldi.
Her neyse fazla uzattım. Güzel içerikler üretmeni diliyorum sana. Sadece hatırlamanı istediğim bir şey var, abone ol butonu yanındaki sayı sadece bir sayı değil :)",قبل 5 سنوات,Cody Mehmet Çatal,UCijeB4fbhgUPx1aFr-HY9bA,57,,False,gK5t2yBGDf0
UgiteNdy9uH6S3gCoAEC,great haul tonight. I knew you will have some really awesome diving. you never disappoint the family here.,قبل 4 سنوات,Daniel Duran,UCS9mLgwVlFXv2i-F6wZmzoA,0,,False,V9j54XJiwkQ
Ugz-SxZypUsPNasgePx4AaABAg,"I lol-ed too... imagined like it was sung that way like.. diiig, bury mee Pavarotti style",قبل 11 سنة,Aeson 1,UCHfg0imR6lolEaHYYlfWYCA,0,,False,pfbPalnIHXU
UgwHexa557lkdSf4KzZ4AaABAg,Great Video Assassin!,قبل 3 سنوات,LegacyTCK,UCkqDmIHCR-FX8RAcsgV5Z2g,1,,True,UrI8EKPAPmc
UghCNHAY6Oir13gCoAEC,"今日もおもしろかったです！
トミーさんはなんか家でガンガンエアコンつけてそうですw寛太さんは寒がりっぽそうですねw",قبل 6 سنوات,la la,UCLD66abYfai7ndZzsYavoaQ,51,,False,CXYRpr7wuuU
Ugh5pga4YtA1O3gCoAEC,Still a better love-story than twilight :D,قبل 7 سنوات,Julius Albe,UCx3lciXj1zlN4W9FwfuuNGQ,0,,False,9lQcuV8Lu0U
Ugibu6j2rndRQngCoAEC,kak se kazva  kucheka?,قبل 5 سنوات,Mimi Vasileva,UCXpr9E49V4PnkeFuoPe3tGQ,0,,False,WYk8rrtvCfk
UgzYuush3RlmjX8GqaV4AaABAg,B.E.N.N.Y 🗽🔪💪💯📶,قبل 4 سنوات,Larry Davis,UCwA14bG_9XwYW5Zju3cG6tw,2,,False,xNDOaw5iJJE
UgwuWXF8uK8XZpJMw9F4AaABAg,"Pour info ma chérie Il est née En juin 1943 à Paris et à ma connaissance sauf si il y a eu un glissement de terrain 
Paris n'est pas en Belgique....écoute ou réécoute ""je suis née dans la rue""
Amicalement",قبل سنتين (تم تعديله),Flash Cadillac,UCs5BcwqI7vvrVFKBBWRqecA,1,,False,Is0mnTTk2kA
UgiHgUim4OJBKngCoAEC,ALLAH ŞİFA VERSİN ABİM BENİM,قبل 4 سنوات,İlker Fırat,UCeApgE0ZZe3vtxRIcWtbwTg,336,,True,23e4z9KHIW4
UghSV2ZzPJxPW3gCoAEC,"Nice edit!!
養分(養分にされるとは言ってない)",قبل 5 سنوات,Parfait3141,UCgEZBC1-Cx2KxY53OkMqbKA,0,,False,W12tXF3Tg-k
Ugyb_uaUhYJk3Rzv4hd4AaABAg,How special to get a special version of this song live.,قبل سنة واحدة,Curt,UCT3VTyCswBnPwYo5tA3oRjA,4,,False,s15MeaKU6w8
UgiW7WWX3fTHRngCoAEC,Donde esta emir esta bien ??,قبل 5 سنوات,No name,UC6DymCcw6XMjeSXft2WjmeQ,0,,False,m_7TUytxaa4
UgwKn9L4xxTJJanBzT54AaABAg,"I m so jealous of u ... I mean hw a person can be so charming , intelligent and inspirational.... hats off to u sir !",قبل 3 سنوات,divya mittal,UC3LRR1m693110-qeLVzcq6w,2,,False,gHNJdx3gTtU
UgyJHAio-DfM_K4rSe94AaABAg.8Yk1se1cOmK8YnCVgNPd0M,+Eisenschelle so blöd es klingt  aber Dk ist die einzige Klasse welche ich nicht spiele.. Grundlegend könnte ich dir da was erzählen aber ich würde dich da eher an eine Gilde verweisen.. DieZwegats sind Beispielweise eine sehr Anfängerfreundliche Gilde.. falls du interesse hast schreibe einfach mal @rosini an. Ist bestimmt kein Fehler ;),قبل 4 سنوات,Mykrowave,UCTUogr3Q_zXRnae72JcS6og,0,,True,QQtgrouSJYc
Ugxf8BmvHeKOrumajw14AaABAg.8nm0a-VuCgZ9B6p6aws5Xj,Lol I wish.  Wasn't thinking about it to be honest.,قبل سنة واحدة,Nicholas Lockhart,UCn5ts5xvQR4Cx3P_O_3f2Gw,0,,False,j1BMLXp-PoY
Ugy6skQTpvJaVY7yJj54AaABAg,"I think this and successive episodes are badly acted/directed. Monotone voices - in pitch, volume and emphasis; unnecessary body hand and torso movements, uncertain placing of their bodies in the physical environment, and too uniform a pace for the action in each episode. For me all this makes it difficult to follow the plot in each episode and stay interested in any of the characters, I stayed watching because it was the brainchild of Joe Keenan and Christopher Lloyd from Frasier, but it's poor",قبل 10 سنوات,irondogon,UCrtJXP93gQwpqMd73Sap8_A,0,,False,WubdcEvhYsI
UgxmBdqJWhpsQe5Nv8x4AaABAg,Shalom brother in Yeshua--Come Yeshua Come .,قبل 4 سنوات,JEFFREY G DELABRE,UCabH2xd-nNobaikfe2lbRZA,3,,False,RFPALW4sdmQ
Ugx1JIXfmag9meDbhKx4AaABAg,Audio preview voice...I wonder if it likes the way it sounds?,قبل 13 سنة,SauronsEye,UCbkS1cHf5pYeSQ7jMmWOsMg,0,,False,hGwUC2HLMjU
UgxXvgzCFbbTPweZRR14AaABAg.8p7Ov-uAZho8pD1cFVLqsl,obrigado vic um bjooo,قبل 3 سنوات,Nayara e Eduardo,UCkTBcgCjceruE7QiKas5QXg,0,,False,oeQybUxZWrQ
UgxWSRcEvzqa5WFbzh14AaABAg,🤔,قبل 3 سنوات,Hector Muñoz,UC2II2xjsfoLDXZPfcKsiUjw,0,,False,sFMN6hEpv7E
UgjbqZ4Wr2NWn3gCoAEC,Lo felicito por sus videos! es una gran ayuda al despertar,قبل 4 سنوات,brunilda sone,UCvsZ-nd_lTDz6t_eP3-kFzw,1,,False,Cbmbrq_cHtU
UgxEv5W1gp-aTTMSV2d4AaABAg,Nice!,قبل 3 سنوات,Kylian.112,UCPRfJipi1xOd9_zozcJiEsQ,1,,True,d6y1ytj1DLw
UgzsND8HprvlS1LkIep4AaABAg.8i-p9II3tYI8i14LSEXVrc,okay,قبل 3 سنوات,MRJules,UCExMbkP24h6PHgTOfUMoseA,0,,False,QETzSTGXkus
UgxeyC7jT_Iw9I807It4AaABAg,tengo un problema pise una mina con  el carro pero apreté en arreglar el carro antes de volver intentarlo y se quitó la mina y no puedo terminar hacer esa como de mina aún está amarillo el mapa y estado rondando por la parte amarilla a ver si me sale otra mina saben como solucionarlo.,قبل 4 سنوات,RDR,UCguQpkO-8P_GGKLUIWUz5kg,1,,False,wEmXTGiECyE
UgxQXZAg9rgniBhnlaJ4AaABAg,Sa gère . ^^,قبل 12 سنة,Algerien01,UCDmT8HfQbCySiUWk6gsxhAw,0,,False,445XzM8uX6s
UghAE106WDv_NHgCoAEC,"3:21 ""you get it?"" soooo cute ^^
by the way, i think videos that you do are awesome, just keep goin' , like like like ;)",قبل 8 سنوات,Ciny Cinetti,UCx07j49ln4AbVeJG1EN4ahw,0,,False,vviwiTRFsNE
Ugw0jpSMMrrXfqDUbWB4AaABAg,Viva el bajo!!!,قبل 13 سنة,ocoloco,UC0pOEqYfFo9B5xhoplR5gFw,0,,False,9kFyA6-g_IA
UgyPTMFpAKzywsrPj-N4AaABAg,"Drama name plz.
...",قبل 3 سنوات,Panna chowdhury,UCSkWwDn4YS5j8ayvXzr6JKA,1,,False,OOeAOhk6IJc
Ugye7lsbL1uvVfinX8F4AaABAg,"yemiş gibi poz veren dayı senı sevdim
tadar gibi yapıyım ksksksksk
mükemmel ksksksksks",قبل 4 سنوات (تم تعديله),Hakan AniL,UC5sjfmO2umMLH8D5GeaYOBA,73,,False,nyH7xDxrlpw
UgjIu_ojfUUlkngCoAEC,"Что делать , если всё привязано , но всё равно вылетает такая ошибка?",قبل 4 سنوات,Никита Соколов,UCt5fR7gk1FuoMts5_Mf9OUw,0,,False,9HW97N1LbZ4
UgiqP5SDP4kVdHgCoAEC,las targetitas que dices que se ve medio raro es para una pokedex de juguete que salio a la venta también.,قبل 8 سنوات,Miguel Cabañas Rojas,UCQAjnMgqaNDrseInDuw6ctg,1,,False,51QxDAkCNQw
UgiobpmaWsgFXXgCoAEC,can u give me account cause my account is hacked,قبل 5 سنوات,fawad Ali,UCa1_eQeaqVDRy9nwWTgAmKw,0,,False,Fu8HiLJ26Ec
